Puissance;PoidsAVide;ConsoMixte;CO2;Energie
131;1280;5.803;131.9;ESSENCE
100;1290;5.585;127.3;ESSENCE
135;1490;6.206;140.9;ESSENCE
68;1085;3.757;85.05;ESS+ELEC HNR
140;1745;5.868;153.8;GAZOLE
100;1410;6.059;137.8;ESSENCE
77.2;1415;4.393;99.81;ESS+ELEC HNR
100;1320;5.577;127.1;ESSENCE
75;1235;5.418;123.2;ESSENCE
140;1840;5.621;147.2;GAZ+ELEC HNR
100;1230;5.437;123.5;ESSENCE
110;1755;4.994;130.7;GAZ+ELEC HNR
110;1485;5.201;136.4;GAZOLE
243;2225;2.2;50.8;ELEC+ESSENC HR
70;1577;5.216;136.76;GAZOLE
100;1430;6.228;141.6;ESSENCE
110;1380;4.562;119.6;GAZOLE
135;1525;6.231;141.8;ESSENCE
75;1390;6.084;139;ESSENCE
70;1586;5.216;136.76;GAZOLE
275;1690;8.084;183.8;ESSENCE
100;1410;6.059;137.8;ESSENCE
100;1430;6.228;141.6;ESSENCE
103;1329;6.338;143;ESS+ELEC HNR
100;1350;5.585;127.3;ESSENCE
100;1320;5.577;127.1;ESSENCE
90;1568;4.894;128.3;GAZOLE
67;1223;5.968;134.4;ESS+G.P.L.
74;1223;7.629;117.55;ESS+G.P.L.
100;1430;6.228;141.6;ESSENCE
243;2210;1.9;43.9;ELEC+ESSENC HR
112;1485;5.313;120.33;ESS+ELEC HNR
81;1284;5.263;119.4;ESSENCE
135;1900;1.505;34.22;ELEC+ESSENC HR
210;1780;5.2;136.2;GAZ+ELEC HNR
210;1935;6.102;159.7;GAZ+ELEC HNR
133;1760;1.271;28.71;ELEC+ESSENC HR
51.5;1002;4.662;106;ESS+ELEC HNR
140;1465;4.79;125.5;GAZOLE
131;1480;6.359;144.8;ESSENCE
131;1415;6.262;142.6;ESSENCE
95.6;2039;5.527;144.88;GAZ+ELEC HNR
110;1545;4.761;124.7;GAZOLE
180;1815;7.487;170.2;ESS+ELEC HNR
96;1420;5.644;126.96;ESSENCE
73.5;1120;5.381;122;ESSENCE
51.5;970;4.979;113.6;ESS+ELEC HNR
68;1175;4.331;98.15;ESS+ELEC HNR
69.9;1114;7.052;115.51;SUPERETHANOL
131;1225;5.803;131.9;ESSENCE
61.8;908;5.164;117;ESSENCE
90;1646;4.894;128.3;GAZOLE
250;1925;5.822;152.4;GAZ+ELEC HNR
250;2005;6.501;170.2;GAZ+ELEC HNR
110;1963;6.817;178.92;GAZOLE
210;1925;5.726;149.9;GAZ+ELEC HNR
140;1465;4.79;125.5;GAZOLE
95.6;2015;5.832;152.85;GAZOLE
250;2005;6.501;170.2;GAZ+ELEC HNR
135;1525;6.231;141.8;ESSENCE
92;1284;5.88;134;ESSENCE
375;2010;10.461;238;ESSENCE
88.3;1150;5.099;116;ESS+ELEC HNR
112;1626;5.413;124.03;ESS+ELEC HNR
210;1780;5.2;136.2;GAZ+ELEC HNR
90;1580;4.894;128.3;GAZOLE
116;1321;5.809;131.27;ESS+ELEC HNR
72;1225;4.464;101.28;ESS+ELEC HNR
100;1320;5.577;127.1;ESSENCE
206;1660;8.257;186;ESSENCE
100;1290;5.585;127.3;ESSENCE
110;1981;6.817;178.92;GAZOLE
92;1284;5.88;134;ESSENCE
100;1527;4.961;129.9;GAZ+ELEC HNR
72;1225;4.464;101.28;ESS+ELEC HNR
148;1660;8.365;189;ESSENCE
100;1527;4.961;129.9;GAZ+ELEC HNR
170;1275;6.536;148.7;ESSENCE
132;1860;1.843;43.84;ELEC+ESSENC HR
110;1647;4.977;130.4;GAZOLE
140;1600;5.405;141.6;GAZOLE
110;1754;5.505;144.2;GAZOLE
75;1430;4.925;129.14;GAZOLE
100;1470;6.169;140.4;ESSENCE
81;1167;5.419;123;ESSENCE
100;1430;6.289;143.1;ESSENCE
51.5;1000;4.662;106;ESS+ELEC HNR
135;1880;1.525;34.35;ELEC+ESSENC HR
100;1500;6.322;142.7;ESSENCE
96;1475;6.618;149.78;ESSENCE
103;1336;5.817;131.35;ESS+ELEC HNR
148;1445;6.973;158;ESSENCE
131;1225;5.803;131.9;ESSENCE
133;1763;1.271;28.71;ELEC+ESSENC HR
135;1690;6.644;151.5;ESSENCE
110;1540;5.082;133;GAZOLE
131;1205;6.143;139.5;ESSENCE
135;1525;6.231;141.8;ESSENCE
110;1475;4.685;122.6;GAZOLE
275;1740;7.435;169.4;ESS+ELEC HNR
250;1830;5.668;148.5;GAZ+ELEC HNR
88.3;1309;5.3;119.9;ESS+ELEC HNR
135;1490;6.206;140.9;ESSENCE
110;1540;5.082;133;GAZOLE
110;1540;5.082;133;GAZOLE
243;1878;8.501;191.97;ESS+ELEC HNR
85;1372;4.548;119.41;GAZOLE
110;1810;5.546;145.2;GAZ+ELEC HNR
115;1520;5.866;133.5;ESS+ELEC HNR
148;1660;8.365;189;ESSENCE
140;1705;4.784;125.3;GAZ+ELEC HNR
170;1340;6.776;154.2;ESSENCE
110;2241;6.817;178.92;GAZOLE
131;1390;5.902;134.7;ESSENCE
135;1800;7.421;168.7;ESS+ELEC HNR
51.5;989;4.662;106;ESS+ELEC HNR
88.3;1339;5.4;121;ESS+ELEC HNR
135;1620;6.564;149.1;ESSENCE
92;1284;6.114;139.36;ESSENCE
100;1320;5.577;127.1;ESSENCE
118;1465;4.79;125.5;GAZOLE
210;1925;5.726;149.9;GAZ+ELEC HNR
110;1605;5.374;140.8;GAZOLE
210;1935;6.102;159.7;GAZ+ELEC HNR
96;1270;4.837;126.83;GAZOLE
135;1525;6.231;141.8;ESSENCE
100;1430;6.228;141.6;ESSENCE
84;1211;5.833;132.45;ESSENCE
103;1245;5.702;129.1;ESS+ELEC HNR
100;1320;5.577;127.1;ESSENCE
49.3;924;4.844;110;ESSENCE
420;2360;1;58;ELEC+ESSENC HR
103;1241;5.699;129;ESSENCE
131;1470;6.445;146.8;ESSENCE
140;1580;4.547;119.1;GAZ+ELEC HNR
427;1640;11.555;262;ESSENCE
115;1520;5.866;133.5;ESS+ELEC HNR
100;1370;4.498;117.8;GAZ+ELEC HNR
131;1280;5.803;131.9;ESSENCE
100;1505;6.858;156.1;ESSENCE
131;1415;6.262;142.6;ESSENCE
135;1900;1.505;34.22;ELEC+ESSENC HR
131;1430;5.902;134.7;ESSENCE
100;1375;5.577;127.1;ESSENCE
275;1890;7.712;176.2;ESS+ELEC HNR
140;1605;5.301;138.9;GAZOLE
131;1415;6.262;142.6;ESSENCE
61.8;1045;5.211;118;ESSENCE
96;1420;5.644;126.96;ESSENCE
210;1925;5.726;149.9;GAZ+ELEC HNR
85;1465;4.844;126.8;GAZOLE
49.3;922;5.243;119;ESSENCE
110;1270;5.594;126.2;ESSENCE
140;1705;4.784;125.3;GAZ+ELEC HNR
131;1430;5.902;134.7;ESSENCE
118;1680;5.571;146;GAZOLE
68;1175;4.331;98.15;ESS+ELEC HNR
91.9;1136;4.914;110.9;ESS+ELEC HNR
114;1720;6.859;155.28;ESS+ELEC HNR
118;1680;5.571;146;GAZOLE
69;1361;4.714;106.22;ESS+ELEC HNR
100;1320;5.577;127.1;ESSENCE
250;2020;6.501;170.2;GAZ+ELEC HNR
75;1475;6.675;151.1;ESSENCE
84;1497;6.325;143.5;ESSENCE
96;1475;6.618;149.78;ESSENCE
80;1320;5.626;128.4;ESSENCE
131;1280;5.803;131.9;ESSENCE
331;1565;10.272;233;ESSENCE
210;1880;5.276;138.2;GAZ+ELEC HNR
275;1740;7.435;169.4;ESS+ELEC HNR
100;1290;5.585;127.3;ESSENCE
148;1445;6.973;158;ESSENCE
131;1465;6.568;149.5;ESSENCE
250;1915;6.47;169.4;GAZ+ELEC HNR
51.5;958;4.662;106;ESS+ELEC HNR
100;1601;5.454;142.9;GAZ+ELEC HNR
90;1568;4.894;128.3;GAZOLE
84;1497;6.325;143.5;ESSENCE
51.5;999;4.662;106;ESS+ELEC HNR
77.2;1415;4.393;99.81;ESS+ELEC HNR
96;1475;6.618;149.78;ESSENCE
85;1432;4.548;119.41;GAZOLE
275;1740;7.435;169.4;ESS+ELEC HNR
140;1840;5.621;147.2;GAZ+ELEC HNR
135;1800;7.421;168.7;ESS+ELEC HNR
100;1320;5.577;127.1;ESSENCE
110;1342;6.347;143.2;ESSENCE
250;1915;6.09;159.6;GAZ+ELEC HNR
125;2262;6.941;182.22;GAZOLE
147;1833;1.2;28;ELEC+ESSENC HR
131;1205;6.143;139.5;ESSENCE
140;1705;4.784;125.3;GAZ+ELEC HNR
100;1350;5.585;127.3;ESSENCE
49.3;922;5.243;119;ESSENCE
147;1965;5.726;150;GAZ+ELEC HNR
96;1205;5.849;132.45;ESSENCE
51.5;975;4.662;106;ESS+ELEC HNR
100;1430;6.228;141.6;ESSENCE
69.9;1114;7.052;115.51;SUPERETHANOL
250;1995;6.47;169.4;GAZ+ELEC HNR
100;1150;5.424;123;ESSENCE
85;1465;4.844;126.8;GAZOLE
110;1485;5.201;136.4;GAZOLE
110;1342;6.414;145.8;ESSENCE
81;1421;5.868;133.2;ESSENCE
85;1402;4.271;112;GAZOLE
84;1497;6.325;143.5;ESSENCE
112;1769;0.9;21;ELEC+ESSENC HR
478;1710;11.563;262;ESSENCE
81;1205;4.297;112.64;GAZOLE
131;1470;6.445;146.8;ESSENCE
74;1090;4.853;108.97;ESSENCE
140;1670;4.862;127.4;GAZ+ELEC HNR
112;1769;0.9;21;ELEC+ESSENC HR
110;1328;5.647;128.4;ESSENCE
140;1840;5.621;147.2;GAZ+ELEC HNR
250;1925;5.822;152.4;GAZ+ELEC HNR
100;1230;5.437;123.5;ESSENCE
140;1840;5.621;147.2;GAZ+ELEC HNR
221;1109;6.755;153.21;ESSENCE
51.5;980;4.662;106;ESS+ELEC HNR
100;1175;5.437;123.5;ESSENCE
110;2033;6.817;178.92;GAZOLE
81;1090;5.669;127.83;ESSENCE
131;1470;6.445;146.8;ESSENCE
100;1290;5.585;127.3;ESSENCE
135;1690;6.644;151.5;ESSENCE
80;1340;5.753;131.4;ESSENCE
148;1445;6.973;158;ESSENCE
92;1040;5.159;120.93;ESSENCE
100;1375;5.577;127.1;ESSENCE
140;1780;4.987;130.5;GAZ+ELEC HNR
